place_id,reviewTags,count
132,garuda,1
132,gilded,1
132,historical,1
132,lord vishnu,1
132,metal,1
132,structure,1
133,0,10
134,0,2
134,cold,1
134,experience,1
134,headquarters,1
134,monastery,1
134,mountains,1
134,peaceful,1
134,town,1
134,trip,1
135,atmosphere,1
135,beautiful,1
135,cricket stadium,1
135,fee,1
135,hills,1
135,range,1
135,snow,1
135,ticket,1
135,tourists,1
135,weather,1
136,0,9
136,project,1
137,ATV,1
137,beautiful,1
137,horse,1
137,mountain bike,1
137,shivling,1
137,snow,1
137,trek,1
137,valley,1
137,walk,1
137,waterfall,1
138,attraction,1
138,capital city,1
138,cultural activities,1
138,hill station,1
138,horse riding,1
138,indian flag,1
138,indira gandhi,1
138,library,1
138,rhododendron,1
138,snow,1
139,10 january,1
139,1844,1
139,1857,1
139,1873,1
139,1899,1
139,1932,1
139,9 september,1
139,march,1
139,ridge,1
139,silhouette,1
140,0,8
140,history,1
140,sun temple,1
141,0,10
142,0,10
143,adventure,1
143,beautiful,1
143,bus,1
143,experience,1
143,february,1
143,learn,1
143,season,1
143,slope,1
143,snow,1
143,sports,1
144,beauty,1
144,boating,1
144,fee,1
144,folk dance,1
144,lunch,1
144,magic,1
144,money,1
144,nature,1
144,ticket,1
144,waste,1
145,0,10
146,0,10
147,0,5
147,area,1
147,blessings,1
147,meditation,1
147,nature,1
147,peaceful,1
148,beauty,1
148,eye,1
148,family,1
148,goddess,1
148,hill,1
148,mountain,1
148,peaceful,1
148,spiritual,1
148,tourist,1
148,wind,1
149,ancient,1
149,bank,1
149,bath,1
149,beautiful,1
149,holy,1
149,lord shiva,1
149,pandavas,1
149,pilgrimage,1
149,river,1
149,spiritual,1
150,bungalow,1
150,horse riding,1
150,nature,1
150,price,1
150,restaurant,1
150,service,1
150,space,1
150,tourist,1
150,weather,1
150,zoo,1
151,0,8
151,boating,1
151,village,1
152,december,1
152,deodar,1
152,grassland,1
152,heaven,1
152,hill station,1
152,horse riding,1
152,march,1
152,paragliding,1
152,vendors,1
152,zorbing,1
153,0,10
154,artefacts,1
154,beautiful,1
154,bus,1
154,clocks,1
154,engineers,1
154,history,1
154,photographs,1
154,steam locomotives,1
154,ticket,1
154,tunnel,1
155,adventure,1
155,beautiful,1
155,deodar,1
155,drive,1
155,hike,1
155,nature,1
155,peaceful,1
155,rainy,1
155,season,1
155,trek,1
156,kids,1
156,mall,1
156,peaceful,1
156,rani of jhansi,1
156,sitting,1
156,statue,1
156,sunset,1
156,swings,1
156,tourists,1
156,women,1
157,antelopes,1
157,beautiful,1
157,brown bear,1
157,hill station,1
157,horse riding,1
157,leopard,1
157,nature park,1
157,pheasant,1
157,snow,1
157,wildlife,1
158,dravidian architecture,1
158,fable,1
158,hills,1
158,jal,1
158,langar,1
158,pyramid,1
158,shesha,1
158,shivling,1
158,skin diseases,1
158,sphatik,1
159,beautiful,1
159,cave,1
159,electric vehicles,1
159,eye,1
159,goddess,1
159,helicopter,1
159,ponies,1
159,spiritual,1
159,the hindu,1
159,walk,1
160,0,10
161,beautiful,1
161,deodar,1
161,forest,1
161,mind,1
161,peaceful,1
161,photoshoot,1
161,pictures,1
161,pine,1
161,traffic,1
161,view point,1
162,0,10
163,0,8
163,palace,1
163,peace,1
164,0,4
164,beautiful,1
164,experience,1
164,june,1
164,peace,1
164,snow,1
164,weather,1
165,0,6
165,cave,1
165,lord shiva,1
165,peaceful,1
165,water,1
166,beautiful,1
166,coins,1
166,heaven,1
166,lake,1
166,nature,1
166,pine,1
166,silver,1
166,trek,1
166,valley,1
166,weather,1
167,banks,1
167,beauty,1
167,cafes,1
167,evening,1
167,garbage,1
167,peace,1
167,pine,1
167,plastic,1
167,sound,1
167,village,1
168,0,9
168,beautiful,1
169,0,10
170,0,7
170,beauty,1
170,family,1
170,trees,1
171,0,10
172,0,7
172,beautiful,1
172,chant,1
172,peaceful,1
173,beautiful,1
173,clean,1
173,peace,1
173,picnic,1
173,pictures,1
173,restaurant,1
173,rocks,1
173,stream,1
173,waterfall,1
173,zip line,1
174,0,10
175,apple,1
175,beautiful,1
175,deodar,1
175,orchards,1
175,orchids,1
175,peaceful,1
175,pine,1
175,reflection,1
175,temple,1
175,wilderness,1
176,12th century,1
176,castle,1
176,gurjara-pratihara,1
176,historical,1
176,lord shiva,1
176,monument,1
176,motif,1
176,peaceful,1
176,stone carvings,1
176,traditions,1
177,0,9
177,tea,1
178,adventure,1
178,altitude,1
178,beautiful,1
178,driving,1
178,panoramic view,1
178,ranges,1
178,snow,1
178,trek,1
178,valley,1
178,weather,1
179,0,7
179,forest,1
179,monastery,1
179,peaceful,1
180,buddhist,1
180,country,1
180,exile,1
180,fee,1
180,informative,1
180,invasion,1
180,learn,1
180,movies,1
180,peaceful,1
180,pictures,1
181,aircraft,1
181,indian army,1
181,martyrs,1
181,mikoyan-gurevich mig-21,1
181,military vehicles,1
181,missiles,1
181,mothers,1
181,school,1
181,torpedo,1
181,tribute,1
182,beautiful,1
182,nature,1
182,pandavas,1
182,pastures,1
182,roof,1
182,snow,1
182,stairs,1
182,trek,1
182,valley,1
182,weather,1
183,0,4
